Data,Zamkniecie,Wolumen
2004-05-30,23541.7,53629078
2004-06-06,23506.9,54660012
2004-06-13,23471.2,42531744
2004-06-20,23058.9,37440087
2004-06-27,23818.9,39450847
2004-07-04,23757.2,41400660
2004-07-11,23847.6,33104712
2004-07-18,23508.2,44008689
2004-07-25,23879.1,34206462
2004-08-01,23632.3,31179693
2004-08-08,23736.3,30663668
2004-08-15,23367.6,27792466
2004-08-22,23917.9,33669281
2004-08-29,24179.8,31747560
2004-09-05,24412.7,40891601
2004-09-12,24939.4,42031888
2004-09-19,25312.5,51770722
2004-09-26,24869.3,44080729
2004-10-03,25254.9,36179907
2004-10-10,25451,50553528
2004-10-17,24871.5,48782121
2004-10-24,25020.2,39272211
2004-10-31,25419.3,47353690
2004-11-07,25327.7,45143840
2004-11-14,25623.9,46519966
2004-11-21,25309.5,73968915
2004-11-28,25268.4,69015755
2004-12-05,26040.2,86533168
2004-12-12,25653.7,68903035
2004-12-19,26206.2,83125177
2004-12-26,26152.4,72317061
2005-01-02,26636.2,38199688
2005-01-09,25931.4,56579795
2005-01-16,25767.1,62517119
2005-01-23,25206.5,56623106
2005-01-30,25792.3,60865370
2005-02-06,26638.9,69079908
2005-02-13,26812.1,69219999
2005-02-20,27752.8,85814890
2005-02-27,28547.1,84896590
2005-03-06,27841.2,89307865
2005-03-13,27614,69357664
2005-03-20,26850,73225304
2005-03-27,26908.7,47520863
2005-04-03,27197.3,39166857
2005-04-10,27335.1,40939584
2005-04-17,26865.9,43796202
2005-04-24,26534,49083764
2005-05-01,25813.6,43836768
2005-05-08,25977.6,34694119
2005-05-15,25662.6,54670849
2005-05-22,26324,55796175
2005-05-29,26712.7,34951661
2005-06-05,26974.6,48967791
2005-06-12,27574.7,59596290
2005-06-19,27985.8,61717015
2005-06-26,28071.3,61148446
2005-07-03,28620.1,56864756
2005-07-10,28925.6,67266810
2005-07-17,29430.5,60884708
2005-07-24,29165.5,56382871
2005-07-31,30448.3,65759200
2005-08-07,30907.2,62307360
2005-08-14,30736,63914647
2005-08-21,30548.5,47872507
2005-08-28,30917.7,47760173
2005-09-04,31959.3,79375836
2005-09-11,32084.5,49336593
2005-09-18,33256.3,73436541
2005-09-25,33223.9,92403621
2005-10-02,33801.2,70266214
2005-10-09,32700.7,72578620
2005-10-16,31599.9,61675648
2005-10-23,31727.4,78943632
2005-10-30,31728.5,108537927
2005-11-06,33317.6,73541855
2005-11-13,33012.9,82269951
2005-11-20,33667,124372426
2005-11-27,33392.8,128500760
2005-12-04,34480.7,122048132
2005-12-11,34333.9,97697887
2005-12-18,34821.8,115710441
2005-12-25,35730.4,136668578
2006-01-01,35600.8,57780485
2006-01-08,37921.1,187599080
2006-01-15,37599.5,153446064
2006-01-22,39013.1,149510260
2006-01-29,39107,126063106
2006-02-05,37222,119988664
2006-02-12,37870.9,88065182
2006-02-19,38625.8,92194753
2006-02-26,39794,85023964
2006-03-05,39357,137841004
2006-03-12,37942.1,112415742
2006-03-19,39214.4,124288490
2006-03-26,39660.8,93871900
2006-04-02,40220.3,95985996
2006-04-09,41823.1,160500920
2006-04-16,42018.4,144153010
2006-04-23,43979.5,124533226
2006-04-30,43998.6,134023782
2006-05-07,45070.9,64993861
2006-05-14,45390.3,133728658
2006-05-21,42656.8,142361052
2006-05-28,40446.4,186065202
2006-06-04,40917.5,116309020
2006-06-11,38758.3,105594404
